lemma,ipa,english,pos,gender,module,level,note,image_url
банан,/bɑˈnɑn/,banana,noun,m,1,A1,"Б=B (new), Н=N (false friend)",
банк,/bɑnk/,bank,noun,m,1,A1,"Б=B (new), Н=N (false friend)",
відео,/ˈwideɔ/,video,noun,n,1,A1,"В=V (false friend), Д=D (new)",
кафе,/kɑˈfɛ/,café,noun,n,1,A1,All True Friends + Ф (new),
лимон,/lɪˈmɔn/,lemon,noun,m,1,A1,"Л=L (new), Н=N (false friend)",
мама,/ˈmɑmɑ/,mom,noun,f,1,A1,True Friends only: М-А-М-А,
метро,/mɛˈtrɔ/,metro,noun,n,1,A1,Р=R (false friend),
музика,/ˈmuzɪkɑ/,music,noun,f,1,A1,"У=U (false friend), З=Z (new)",
парк,/pɑrk/,park,noun,m,1,A1,"П=P (new), Р=R (false friend)",
піца,/ˈpitsɑ/,pizza,noun,f,1,A1,"П=P (new), Ц=TS (preview)",
радіо,/ˈrɑdʲiɔ/,radio,noun,n,1,A1,"Р=R (false friend), Д=D (new)",
салат,/sɑˈlɑt/,salad,noun,m,1,A1,"С=S (false friend), Л=L (new)",
студент,/stuˈdɛnt/,student,noun,m,1,A1,"С=S, У=U, Н=N (false friends)",
суп,/sup/,soup,noun,m,1,A1,"С=S, У=U (false friends)",
таксі,/tɑkˈsi/,taxi,noun,n,1,A1,"С=S (false friend), І=I",
тато,/ˈtɑtɔ/,dad,noun,m,1,A1,True Friends: Т-А-Т-О,
турист,/tuˈrɪst/,tourist,noun,m,1,A1,"У=U, Р=R, С=S (false friends)",
фото,/ˈfɔtɔ/,photo,noun,n,1,A1,"Ф=F (new), rest True Friends",
футбол,/fudˈbɔl/,football,noun,m,1,A1,"Ф=F (new), У=U, Б=B, Л=L",
хокей,/xɔˈkɛj/,hockey,noun,m,1,A1,Х=KH (false friend),
алфавіт,/ɑlfɑˈvʲit/,alphabet,noun,m,2,A1,Also: абетка (traditional),
англійська,/ɑnˈɦlʲijsʲkɑ/,English (adj),adj,f,2,A1,Г = H sound,
будь ласка,/budʲ ˈlɑskɑ/,please,phrase,-,2,A1,Ь = soft sign,
буква,/ˈbukvɑ/,letter (of alphabet),noun,f,2,A1,"Б, У - uses new letters",
вибачте,/vɪˈbɑtʃtɛ/,"excuse me, sorry",verb,-,2,A1,Ч = CH,
де,/dɛ/,where,adv,-,2,A1,Simple question word,
до побачення,/dɔ pɔˈbɑtʃɛnʲːɑ/,goodbye,phrase,-,2,A1,Ч = CH,
добре,/ˈdɔbrɛ/,"good, okay",adv,-,2,A1,Common response,
дякую,/ˈdʲakuju/,thank you,verb,-,2,A1,"Я, Ю = iotated",
